id,province,prefecture,year,interestrate,lender,borrower,duration,loanamount,loandeposit,urban,pop1776,pop1820,pop1851,pop1880,pop1910,coastal_distance,river_distance,jinshi,river_length,area_sqm,treatyports,provcapital,pref_id,genealogy1911,civilwars,chambermemberp1913,urban1910,x_longitude_l,y_latitude_l,protestantmissinaries1920,disttreaty1897,firms1911,telegraphp_1911,postofficep_1911,pop1393,pop1580,pop1630,pop1680,distshort,east3
pkx.d3204,1,1001,1912,9.6,fbank,merc,s,n,l,c,198.7,386,460.60001,543.29999,644.59998,112.537,423.13199,1447,39.973999,26182.30078,0,1,9513,28,12,4469,21,116.368,39.931427,264,112.90085,23,321,560,445.36414,2439.6057,3389.7366,1776.2567,1135.7305,1
pkx.d3205,1,1001,1912,9.6,fbank,merc,s,n,l,c,198.7,386,460.60001,543.29999,644.59998,112.537,423.13199,1447,39.973999,26182.30078,0,1,9513,28,12,4469,21,116.368,39.931427,264,112.90085,23,321,560,445.36414,2439.6057,3389.7366,1776.2567,1135.7305,1
pkx.d3199,1,1001,1912,9.6,fbank,merc,s,n,l,c,198.7,386,460.60001,543.29999,644.59998,112.537,423.13199,1447,39.973999,26182.30078,0,1,9513,28,12,4469,21,116.368,39.931427,264,112.90085,23,321,560,445.36414,2439.6057,3389.7366,1776.2567,1135.7305,1
pkx.d3202,1,1001,1912,9.6,fbank,ofin,s,n,l,c,198.7,386,460.60001,543.29999,644.59998,112.537,423.13199,1447,39.973999,26182.30078,0,1,9513,28,12,4469,21,116.368,39.931427,264,112.90085,23,321,560,445.36414,2439.6057,3389.7366,1776.2567,1135.7305,1
ys.d433,1,1001,1912,16.8,bank,off,ll,n,l,c,198.7,386,460.60001,543.29999,644.59998,112.537,423.13199,1447,39.973999,26182.30078,0,1,9513,28,12,4469,21,116.368,39.931427,264,112.90085,23,321,560,445.36414,2439.6057,3389.7366,1776.2567,1135.7305,1
pkx.d3203,1,1001,1912,9.6,fbank,ofin,s,n,l,c,198.7,386,460.60001,543.29999,644.59998,112.537,423.13199,1447,39.973999,26182.30078,0,1,9513,28,12,4469,21,116.368,39.931427,264,112.90085,23,321,560,445.36414,2439.6057,3389.7366,1776.2567,1135.7305,1
pkx.d3201,1,1001,1913,9.6,fbank,merc,s,n,l,c,198.7,386,460.60001,543.29999,644.59998,112.537,423.13199,1447,39.973999,26182.30078,0,1,9513,28,12,4469,21,116.368,39.931427,264,112.90085,23,321,560,445.36414,2439.6057,3389.7366,1776.2567,1135.7305,1
pkx.d50,1,1001,1914,6,fbank,lord,m,n,d,c,198.7,386,460.60001,543.29999,644.59998,112.537,423.13199,1447,39.973999,26182.30078,0,1,9513,28,12,4469,21,116.368,39.931427,264,112.90085,23,321,560,445.36414,2439.6057,3389.7366,1776.2567,1135.7305,1
pkx.d2597,1,1001,1914,5.4,bank,off,ll,n,d,c,198.7,386,460.60001,543.29999,644.59998,112.537,423.13199,1447,39.973999,26182.30078,0,1,9513,28,12,4469,21,116.368,39.931427,264,112.90085,23,321,560,445.36414,2439.6057,3389.7366,1776.2567,1135.7305,1
ys.d36,1,1001,1915,6.5,bank,humb,m,n,s,c,198.7,386,460.60001,543.29999,644.59998,112.537,423.13199,1447,39.973999,26182.30078,0,1,9513,28,12,4469,21,116.368,39.931427,264,112.90085,23,321,560,445.36414,2439.6057,3389.7366,1776.2567,1135.7305,1
