"prefid","area_sqm","pop1393","pop1580","pop1630","pop1680","pop1776","pop1820","pop1851","pop1880","pop1910","disttreaty1897","genalogy1896_prefmatch","pop1920","distshort3","coa_dist2","rvr_dist2","privatebanks3y5"
"S16P01",5122.14,47,135,180,241,429,575,708,430,497,116.953,0,385,1075.76,614.2047,484.1725,0
"S16P01",5122.14,47,135,180,241,429,575,708,430,497,116.953,0,385,1075.76,614.2047,484.1725,0
"S16P01",5122.14,47,135,180,241,429,575,708,430,497,116.953,0,385,1075.76,614.2047,484.1725,0
"S16P01",5122.14,47,135,180,241,429,575,708,430,497,116.953,0,385,1075.76,614.2047,484.1725,0
"S16P01",5122.14,47,135,180,241,429,575,708,430,497,116.953,0,385,1075.76,614.2047,484.1725,0
"S16P01",5122.14,47,135,180,241,429,575,708,430,497,116.953,0,385,1075.76,614.2047,484.1725,0
"S16P01",5122.14,47,135,180,241,429,575,708,430,497,116.953,0,385,1075.76,614.2047,484.1725,0
"S16P01",5122.14,47,135,180,241,429,575,708,430,497,116.953,0,385,1075.76,614.2047,484.1725,0
"S16P01",5122.14,47,135,180,241,429,575,708,430,497,116.953,0,385,1075.76,614.2047,484.1725,0
"S08P01",12527.3,87,420,658,569,914,1089,1211,1366,1553,98.747,4,2200,332.5582,727.0878,95.39673,0
"S08P01",12527.3,87,420,658,569,914,1089,1211,1366,1553,98.747,4,2200,332.5582,727.0878,95.39673,0
"S08P01",12527.3,87,420,658,569,914,1089,1211,1366,1553,98.747,4,2200,332.5582,727.0878,95.39673,0
"S08P01",12527.3,87,420,658,569,914,1089,1211,1366,1553,98.747,4,2200,332.5582,727.0878,95.39673,0
"S08P01",12527.3,87,420,658,569,914,1089,1211,1366,1553,98.747,4,2200,332.5582,727.0878,95.39673,0
"S08P01",12527.3,87,420,658,569,914,1089,1211,1366,1553,98.747,4,2200,332.5582,727.0878,95.39673,0
"S08P01",12527.3,87,420,658,569,914,1089,1211,1366,1553,98.747,4,2200,332.5582,727.0878,95.39673,0
"S08P01",12527.3,87,420,658,569,914,1089,1211,1366,1553,98.747,4,2200,332.5582,727.0878,95.39673,0
"S08P01",12527.3,87,420,658,569,914,1089,1211,1366,1553,98.747,4,2200,332.5582,727.0878,95.39673,0
"S01P01",14751.4,447,1368,1845,2612,4458,5463,6400,2817,2849,133.772,316,2806,133.7719,381.3297,29.32697,0
"S01P01",14751.4,447,1368,1845,2612,4458,5463,6400,2817,2849,133.772,316,2806,133.7719,381.3297,29.32697,0
"S01P01",14751.4,447,1368,1845,2612,4458,5463,6400,2817,2849,133.772,316,2806,133.7719,381.3297,29.32697,0
"S01P01",14751.4,447,1368,1845,2612,4458,5463,6400,2817,2849,133.772,316,2806,133.7719,381.3297,29.32697,0
"S01P01",14751.4,447,1368,1845,2612,4458,5463,6400,2817,2849,133.772,316,2806,133.7719,381.3297,29.32697,0
"S01P01",14751.4,447,1368,1845,2612,4458,5463,6400,2817,2849,133.772,316,2806,133.7719,381.3297,29.32697,1
"S01P01",14751.4,447,1368,1845,2612,4458,5463,6400,2817,2849,133.772,316,2806,133.7719,381.3297,29.32697,1
"S01P01",14751.4,447,1368,1845,2612,4458,5463,6400,2817,2849,133.772,316,2806,133.7719,381.3297,29.32697,1
"S01P01",14751.4,447,1368,1845,2612,4458,5463,6400,2817,2849,133.772,316,2806,133.7719,381.3297,29.32697,4
