prefid,pref_id,area_sqm,pop1393,pop1580,pop1630,pop1680,pop1776,pop1820,pop1851,pop1880,pop1910,x_longitude,y_latitude,disttreaty1897,genalogy1896_prefmatch,pop1920,distshort3,coa_dist2,rvr_dist2,provcapital,east3,year5,privatebanks3y5
S16P01,227,5122.14,46.7362,134.816,179.966,240.837,428.936,575.103,707.692,430.5,496.974,102.911,24.6732,116.953,0,384.921,1075.76,614.2047,484.1725,0,0,0,0
S16P01,227,5122.14,46.7362,134.816,179.966,240.837,428.936,575.103,707.692,430.5,496.974,102.911,24.6732,116.953,0,384.921,1075.76,614.2047,484.1725,0,0,1,0
S16P01,227,5122.14,46.7362,134.816,179.966,240.837,428.936,575.103,707.692,430.5,496.974,102.911,24.6732,116.953,0,384.921,1075.76,614.2047,484.1725,0,0,2,0
S16P01,227,5122.14,46.7362,134.816,179.966,240.837,428.936,575.103,707.692,430.5,496.974,102.911,24.6732,116.953,0,384.921,1075.76,614.2047,484.1725,0,0,3,0
S16P01,227,5122.14,46.7362,134.816,179.966,240.837,428.936,575.103,707.692,430.5,496.974,102.911,24.6732,116.953,0,384.921,1075.76,614.2047,484.1725,0,0,4,0
S16P01,227,5122.14,46.7362,134.816,179.966,240.837,428.936,575.103,707.692,430.5,496.974,102.911,24.6732,116.953,0,384.921,1075.76,614.2047,484.1725,0,0,5,0
S16P01,227,5122.14,46.7362,134.816,179.966,240.837,428.936,575.103,707.692,430.5,496.974,102.911,24.6732,116.953,0,384.921,1075.76,614.2047,484.1725,0,0,6,0
S16P01,227,5122.14,46.7362,134.816,179.966,240.837,428.936,575.103,707.692,430.5,496.974,102.911,24.6732,116.953,0,384.921,1075.76,614.2047,484.1725,0,0,7,0
S16P01,227,5122.14,46.7362,134.816,179.966,240.837,428.936,575.103,707.692,430.5,496.974,102.911,24.6732,116.953,0,384.921,1075.76,614.2047,484.1725,0,0,8,0
S16P01,227,5122.14,46.7362,134.816,179.966,240.837,428.936,575.103,707.692,430.5,496.974,102.911,24.6732,116.953,0,384.921,1075.76,614.2047,484.1725,0,0,,0
S08P01,101,12527.3,87.0213,419.585,657.817,569.026,914,1089,1211,1366,1553,112.589,31.1698,98.747,4,2199.689,332.5582,727.0878,95.39673,0,1,0,0
S08P01,101,12527.3,87.0213,419.585,657.817,569.026,914,1089,1211,1366,1553,112.589,31.1698,98.747,4,2199.689,332.5582,727.0878,95.39673,0,1,1,0
S08P01,101,12527.3,87.0213,419.585,657.817,569.026,914,1089,1211,1366,1553,112.589,31.1698,98.747,4,2199.689,332.5582,727.0878,95.39673,0,1,2,0
